"table_name","key_column","src_id","trg_id","reconciliation_status"
"s1_sales","client_id + product_id + purchase_date","484_39_26-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","313_49_17-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","71_47_22-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","510_30_25-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","118_36_06-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","649_22_16-MAR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","464_26_24-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","242_11_26-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","612_7_31-JUL-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","458_9_13-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","532_11_25-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","692_26_30-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","469_15_05-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","576_43_10-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","615_43_18-MAR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","93_26_11-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","134_18_15-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","114_16_30-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","344_11_15-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","519_37_24-JUL-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","674_10_29-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","308_21_01-JUN-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","351_1_26-JUN-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","112_10_21-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","308_26_30-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","696_46_08-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","53_5_16-MAR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","104_35_09-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","473_35_27-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","294_23_06-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","519_5_26-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","155_42_13-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","148_4_14-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","87_9_18-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","335_33_21-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","60_20_09-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","610_29_27-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","112_32_23-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","339_25_24-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","3_24_08-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","58_32_17-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","592_45_28-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","662_46_18-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","219_25_17-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","287_20_16-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","672_7_13-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","162_17_18-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","121_27_02-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","673_18_23-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","434_46_24-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","66_38_08-SEP-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","410_44_06-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","29_22_07-JUL-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","410_30_18-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","412_41_08-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","569_44_12-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","418_18_06-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","592_13_12-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","504_27_19-SEP-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","630_10_25-MAR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","123_50_03-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","595_40_30-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","577_10_01-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","435_38_05-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","264_21_24-JUN-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","387_38_12-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","110_8_25-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","137_46_10-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","581_42_21-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","667_15_02-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","398_24_10-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","615_40_25-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","188_21_13-SEP-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","205_38_16-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","309_43_21-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","283_23_17-AUG-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","658_30_17-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","544_45_07-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","413_29_24-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","596_17_22-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","26_40_17-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","108_23_21-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","423_30_15-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","582_28_18-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","561_24_06-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","458_23_06-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","442_17_03-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","296_25_12-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","454_40_25-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","667_49_15-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","47_2_20-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","26_40_29-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","25_34_02-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","422_19_14-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","325_37_26-MAR-06",NULL,"Only in source"
"s2_locations","location_id","38",NULL,"Only in source"
"s2_locations","location_id","39",NULL,"Only in source"
"s2_locations","location_id","40",NULL,"Only in source"
"s2_locations","location_id","40",NULL,"Only in source"
"s2_locations","location_id",NULL,"19","Only in target"
"s2_client_sales","client_id + product_id + saled_at","cl27_pr85_28-MAR-10",NULL,"Only in source"
"s2_client_sales","client_id + product_id + saled_at","cl49_pr95_15-JUN-10",NULL,"Only in source"
"s2_client_sales","client_id + product_id + saled_at","cl42_pr105_28-SEP-10",NULL,"Only in source"
"s2_client_sales","client_id + product_id + saled_at","cl65_pr111_13-NOV-12",NULL,"Only in source"
"s2_client_sales","client_id + product_id + saled_at","cl10_pr118_04-SEP-11",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","269_36_29-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","41_14_28-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","2_4_01-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","602_28_15-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","376_2_05-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","681_14_13-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","351_2_20-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","38_16_15-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","91_25_06-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","605_34_07-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","358_42_30-MAY-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","142_18_12-JAN-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","681_38_23-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","424_27_23-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","639_39_30-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","279_1_04-JUL-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","340_13_20-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","629_26_01-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","612_34_02-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","329_26_03-MAR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","149_19_07-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","67_6_22-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","390_39_02-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","332_11_08-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","4_41_06-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","676_17_14-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","371_9_03-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","563_5_08-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","338_43_23-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","365_43_03-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","276_33_04-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","14_32_14-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","575_12_10-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","350_28_14-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","531_15_05-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","468_31_21-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","451_42_30-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","145_6_24-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","167_26_08-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","609_48_02-OCT-05","609_48_02-OCT-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","345_34_11-APR-06","345_34_11-APR-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","385_31_16-DEC-05","385_31_16-DEC-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","608_24_07-JUN-05","608_24_07-JUN-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","517_20_29-JAN-06","517_20_29-JAN-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","645_40_18-MAY-06","645_40_18-MAY-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","609_48_02-OCT-05","609_48_02-OCT-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","517_20_29-JAN-06","517_20_29-JAN-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","183_24_20-FEB-05","183_24_20-FEB-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","645_40_18-MAY-06","645_40_18-MAY-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","559_34_27-MAY-06","559_34_27-MAY-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","175_33_05-NOV-05","175_33_05-NOV-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","385_31_16-DEC-05","385_31_16-DEC-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","559_34_27-MAY-06","559_34_27-MAY-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","175_33_05-NOV-05","175_33_05-NOV-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","183_24_20-FEB-05","183_24_20-FEB-05","Mismatch in channel_id"
